MLP,None, 0.4, Adamax, relu, 175
MLP,None, 0.4, Adamax, relu, 200
MLP,None, 0.4, Adamax, sigmoid, 100
MLP,None, 0.4, Adamax, sigmoid, 125
MLP,None, 0.4, Adamax, sigmoid, 150
MLP,None, 0.4, Adamax, sigmoid, 175
MLP,None, 0.4, Adamax, sigmoid, 200
MLP,None, 0.4, Adamax, softmax, 100
MLP,None, 0.4, Adamax, softmax, 125
MLP,None, 0.4, Adamax, softmax, 150
MLP,None, 0.4, Adamax, softmax, 175
MLP,None, 0.4, Adamax, softmax, 200
MLP,None, 0.3, SGD, tanh, 100
MLP,None, 0.3, SGD, tanh, 125
MLP,None, 0.3, SGD, tanh, 150
MLP,None, 0.3, SGD, tanh, 175
MLP,None, 0.3, SGD, tanh, 200
MLP,None, 0.3, SGD, relu, 100
MLP,None, 0.3, SGD, relu, 125
MLP,None, 0.3, SGD, relu, 150
MLP,None, 0.3, SGD, relu, 175
MLP,None, 0.3, SGD, relu, 200
MLP,None, 0.3, SGD, sigmoid, 100
MLP,None, 0.3, SGD, sigmoid, 125
MLP,None, 0.3, SGD, sigmoid, 150
MLP,None, 0.3, SGD, sigmoid, 175
MLP,None, 0.3, SGD, sigmoid, 200
MLP,None, 0.3, SGD, softmax, 100
MLP,None, 0.3, SGD, softmax, 125
MLP,None, 0.3, SGD, softmax, 150
MLP,None, 0.3, SGD, softmax, 175
MLP,None, 0.3, SGD, softmax, 200
MLP,None, 0.3, RMSprop, tanh, 100
MLP,None, 0.3, RMSprop, tanh, 125
MLP,None, 0.3, RMSprop, tanh, 150
MLP,None, 0.3, RMSprop, tanh, 175
MLP,None, 0.3, RMSprop, tanh, 200
MLP,None, 0.3, RMSprop, relu, 100
MLP,None, 0.3, RMSprop, relu, 125
MLP,None, 0.3, RMSprop, relu, 150
MLP,None, 0.3, RMSprop, relu, 175
MLP,None, 0.3, RMSprop, relu, 200
MLP,None, 0.3, RMSprop, sigmoid, 100
MLP,None, 0.3, RMSprop, sigmoid, 125
