=====linear_1=====
Epoch 37 - loss: 5.439854564361572 ; sparse_categorical_accuracy : 0.18870000541210175 ; val_loss : 5.362423393249512 ; val_sparse_categorical_accuracy : 0.18070000410079956
Epoch 38 - loss: 5.458395628051758 ; sparse_categorical_accuracy : 0.1677200049161911 ; val_loss : 5.382501725006104 ; val_sparse_categorical_accuracy : 0.18979999423027039
Epoch 39 - loss: 5.392137392425537 ; sparse_categorical_accuracy : 0.18717999756336212 ; val_loss : 5.411063075256347 ; val_sparse_categorical_accuracy : 0.16329999268054962
Epoch 40 - loss: 5.337789989929199 ; sparse_categorical_accuracy : 0.18775999546051025 ; val_loss : 5.661303742980957 ; val_sparse_categorical_accuracy : 0.17599999904632568
Epoch 41 - loss: 5.36744783416748 ; sparse_categorical_accuracy : 0.16825999319553375 ; val_loss : 5.358645017242432 ; val_sparse_categorical_accuracy : 0.19210000336170197
Epoch 42 - loss: 5.420530660705566 ; sparse_categorical_accuracy : 0.1866600066423416 ; val_loss : 5.416860365295411 ; val_sparse_categorical_accuracy : 0.1995999962091446
Epoch 43 - loss: 5.413555015716553 ; sparse_categorical_accuracy : 0.1676200032234192 ; val_loss : 5.49443553390503 ; val_sparse_categorical_accuracy : 0.15189999341964722
Epoch 44 - loss: 5.435706688842774 ; sparse_categorical_accuracy : 0.18889999389648438 ; val_loss : 5.285801856231689 ; val_sparse_categorical_accuracy : 0.17090000212192535
Epoch 45 - loss: 5.432974356384277 ; sparse_categorical_accuracy : 0.19133999943733215 ; val_loss : 5.307723285675049 ; val_sparse_categorical_accuracy : 0.20579999685287476
Epoch 46 - loss: 5.3802836328125 ; sparse_categorical_accuracy : 0.19609999656677246 ; val_loss : 5.380397610473633 ; val_sparse_categorical_accuracy : 0.1860000044107437
Epoch 47 - loss: 5.729430447845459 ; sparse_categorical_accuracy : 0.15850000083446503 ; val_loss : 4.96860724029541 ; val_sparse_categorical_accuracy : 0.04800000041723251
Epoch 48 - loss: 4.907728759765625 ; sparse_categorical_accuracy : 0.03420000150799751 ; val_loss : 4.863961912536621 ; val_sparse_categorical_accuracy : 0.018400000408291817
Epoch 49 - loss: 4.863142669830323 ; sparse_categorical_accuracy : 0.01759999990463257 ; val_loss : 4.852362982177734 ; val_sparse_categorical_accuracy : 0.01549999974668026
Epoch 50 - loss: 4.855238285064697 ; sparse_categorical_accuracy : 0.01616000011563301 ; val_loss : 4.852677808380127 ; val_sparse_categorical_accuracy : 0.015300000086426735
Epoch 51 - loss: 4.852722630767822 ; sparse_categorical_accuracy : 0.01573999971151352 ; val_loss : 4.852651676940918 ; val_sparse_categorical_accuracy : 0.01510000042617321
